,Gene,cluster,count,% Expressing
90,GCYB1_BOVIN Guanylate cyclase soluble subunit beta-1,INRGWa,2.244670805,31.37448058
91,RYa,INRGWa,0,0
92,MLD/pedal-peptide-2,INRGWa,1.66414616,0.137256251
93,GABR1_RAT Gamma-aminobutyric acid type B receptor subunit 1,INRGWa,0,0
94,OPN3_HUMAN Opsin-3,INRGWa,0,0
95,NIT-GC1,INRGWa,0,0
96,GLRA2_MOUSE Glycine receptor subunit alpha-2,INRGWa,0,0
97,CNGAalpha,INRGWa,0.204690331,0.043801531
98,DCE1_PIG Glutamate decarboxylase 1,INRGWa,0,0
99,RGWa receptor,INRGWa,0,0
100,RGWa receptor,INRGWa,0,0
101,RGWa receptor,INRGWa,0,0
102,RGWa receptor,INRGWa,0,0
103,NOS,INRGWa,0,0
104,NOS,INRGWa,0,0
105,ACHB3_RAT Neuronal acetylcholine receptor subunit beta-3,INRGWa,0,0
106,ACH1_DROME Acetylcholine receptor subunit alpha-like 1,INRGWa,0,0
107,"GRIK2_MOUSE Glutamate receptor, ionotropic kainate 2",INRGWa,0,0
108,SC6A9_BOVIN Sodium- and chloride-dependent glycine transporter 1,INRGWa,1.725009147,12.79267145
109,VGLU1_XENLA Vesicular glutamate transporter 1,INRGWa,2.462112027,98.00995743
110,5HT1R_DROME 5-hydroxytryptamine receptor 1,INRGWa,2.252213845,100
